boss,loot_name,loot_url,type,bis,spec1,spec2,priority,notes
Balance Druid,Bois de Malorne,https://www.wowhead.com/tbc/fr/item=29093,Tête,,,Helm of the Fallen Defender,,
Balance Druid,Espauliers de Malorne,https://www.wowhead.com/tbc/fr/item=29095,Shoulders,,,Pauldrons of the Fallen Defender,,Boom BP1 #5 Total
Balance Druid,Plastron de Malorne,https://www.wowhead.com/tbc/fr/item=29091,Torse,,,Chestguard of the Fallen Defender,,BP1
Balance Druid,Gants de Malorne,https://www.wowhead.com/tbc/fr/item=29092,Mains,,,Gloves of the Fallen Defender,,
Balance Druid,Braies de Malorne,https://www.wowhead.com/tbc/fr/item=29094,Jambes,,,Leggings of the Fallen Defender,,
Feral Druid,Forte-ramure de Malorne,https://www.wowhead.com/tbc/fr/item=29098,Tête,,,Helm of the Fallen Defender,,"Bear BP1 #4 Total
Cat BP1(if not Wolfshead/Power Shift)"
Feral Druid,Mantelet de Malorne,https://www.wowhead.com/tbc/fr/item=29100,Shoulders,,,Pauldrons of the Fallen Defender,,Cat BP1
Feral Druid,Cuirasse de Malorne,https://www.wowhead.com/tbc/fr/item=29096,Torse,,,Chestguard of the Fallen Defender,,Bear BP1
Feral Druid,Gantelets de Malorne,https://www.wowhead.com/tbc/fr/item=29097,Mains,,,Gloves of the Fallen Defender,,
Feral Druid,Grèves de Malorne,https://www.wowhead.com/tbc/fr/item=29099,Jambes,,,Leggings of the Fallen Defender,,
Restoration Druid,Couronne de Malorne,https://www.wowhead.com/tbc/fr/item=29086,Tête,,,Helm of the Fallen Defender,,BP1
Restoration Druid,Garde-épaules de Malorne,https://www.wowhead.com/tbc/fr/item=29089,Shoulders,,,Pauldrons of the Fallen Defender,,BP1
Restoration Druid,Corselet de Malorne,https://www.wowhead.com/tbc/fr/item=29087,Torse,,,Chestguard of the Fallen Defender,,BP1
Restoration Druid,Garde-mains de Malorne,https://www.wowhead.com/tbc/fr/item=29090,Mains,,,Gloves of the Fallen Defender,,BP1
Restoration Druid,Garde-jambes de Malorne,https://www.wowhead.com/tbc/fr/item=29088,Jambes,,,Leggings of the Fallen Defender,,Just Under Kazzak
Hunter,Grand heaume de traqueur de démons,https://www.wowhead.com/tbc/fr/item=29081,Tête,,,Helm of the Fallen Hero,,BP1
Hunter,Garde-épaules de traqueur de démons,https://www.wowhead.com/tbc/fr/item=29084,Shoulders,,,Pauldrons of the Fallen Hero,,
Hunter,Harnais de traqueur de démons,https://www.wowhead.com/tbc/fr/item=29082,Torse,,,Chestguard of the Fallen Hero,,
Hunter,Gantelets de traqueur de démons,https://www.wowhead.com/tbc/fr/item=29085,Mains,,,Gloves of the Fallen Hero,,
Hunter,Grèves de traqueur de démons,https://www.wowhead.com/tbc/fr/item=29083,Jambes,,,Leggings of the Fallen Hero,,
Mage,Collerette de l'Aldor,https://www.wowhead.com/tbc/fr/item=29076,Tête,,,Helm of the Fallen Hero,,BP1
Mage,Espauliers de l'Aldor,https://www.wowhead.com/tbc/fr/item=29079,Shoulders,,,Pauldrons of the Fallen Hero,,BP1
Mage,Habit de l'Aldor,https://www.wowhead.com/tbc/fr/item=29077,Torse,,,Chestguard of the Fallen Hero,,
Mage,Gants de l'Aldor,https://www.wowhead.com/tbc/fr/item=29080,Mains,,,Gloves of the Fallen Hero,,
Mage,Jambards de l'Aldor,https://www.wowhead.com/tbc/fr/item=29078,Jambes,,,Leggings of the Fallen Hero,,
Paladin Sacré,Diadème de justicier,https://www.wowhead.com/tbc/fr/item=29061,Tête,,,Helm of the Fallen Champion,,BP1
Paladin Sacré,Espauliers de justicier,https://www.wowhead.com/tbc/fr/item=29064,Shoulders,,,Pauldrons of the Fallen Champion,,BP1
